date,"10th percentile","20th percentile","30th percentile","40th percentile","50th percentile (median)","60th percentile","70th percentile","80th percentile","90th percentile"
1973-01-01,10.166436131881458,12.160705017089848,14.616708522473353,17.22340211254055,19.826536381091103,22.90593009353897,26.457169716010657,30.564338757531115,38.47145793720828
1974-01-01,10.494639992655056,12.034556983194241,14.273886436179833,16.777926069659955,19.50815290615883,22.325365316131972,26.162266582912867,30.203957625024113,38.01543209876544
1975-01-01,10.153458518873254,12.11757037605655,14.413182144382398,16.749407083016855,19.5809406260955,22.69906324685469,25.917318050025877,30.63830915054364,38.28353238445401
1976-01-01,10.54861444766309,12.065881960064253,14.350579021279062,16.741146400225453,19.376733099842326,22.845930008798273,26.165246950545402,30.649258788075404,38.61714357442934
1977-01-01,10.426323664798002,12.135123362094546,14.211613169609741,16.71649752691728,19.452768771787234,22.517468354430378,26.586633654630642,31.174604565584207,38.63291139240506
1978-01-01,10.881993566214751,12.209653023814703,14.256166826221047,16.542377240149335,19.54945814593709,22.41794704202227,26.236714405222525,31.032827408777035,38.74407582938388
1979-01-01,11.054393295354139,12.262142662279539,14.450683127399127,16.831487630208333,19.279127318807497,22.75731250515232,26.672846157189568,31.434141745298962,38.39064963865085
1980-01-01,10.585025947080027,12.038116672508432,14.032835008647247,16.644491176196244,19.131937348661367,22.217358803553893,26.082780267369678,31.061558164481298,38.33060461271109
1981-01-01,10.445380617189242,11.878026089379789,13.936415042537812,16.03956080480827,18.934502545556985,22.194520397254156,26.033309894711095,30.908520892268804,38.40213523131673
1982-01-01,9.963205987047035,11.62861743850196,13.983225870836504,16.15014228411169,18.906598570650853,22.24766543958011,26.35999082834129,31.011952036403173,38.58892617449664
1983-01-01,9.63272136350377,11.399750189788865,13.800347761808387,16.11557101877799,18.829583293527797,22.15525919498069,26.463865692580956,31.187523632694557,39.264573402834806
1984-01-01,9.408897260757286,11.356344843633025,13.598887171561051,16.161092371756364,19.00697808290744,22.204870997904997,26.439829014773718,31.410108926528377,39.86745712303854
1985-01-01,9.264837035448563,11.373799681157454,13.55677421307528,16.202602976070565,19.17903308908323,22.528621744061795,26.502186874138744,31.764783059706076,39.61765390233611
1986-01-01,9.325270549100988,11.674541293873503,13.882752970527202,16.5269646471809,19.54100696294448,23.02920982540355,26.958250226189094,32.35290981696636,40.95285709044516
1987-01-01,9.268255960347814,11.760960500616775,14.022645495918026,16.64484556629512,19.55474120659645,23.201181628470064,27.07083052698951,32.35426906970961,41.55334281650072
1988-01-01,9.277410155454618,11.759952962323306,14.08596994031113,16.71838966819648,19.479918963480717,23.174787479604714,27.11836281272774,32.57380517611617,41.86556927297668
1989-01-01,9.3227227594724,11.558067809015945,13.940710231465204,16.549895353580432,19.340819105431535,22.803544830442576,26.97509798669004,32.39190358947673,41.39421813403417
1990-01-01,9.362526265768182,11.472810088422962,13.829614101782779,16.41442154848486,19.232538062074134,22.392260368175094,26.735935668945302,32.26788513718991,41.554769578135385
1991-01-01,9.578895014955462,11.566682148095055,13.901388166028614,16.38221241739958,19.275242038712967,22.43056274045047,26.672163889653163,32.26392970683642,41.67569488193275
1992-01-01,9.600226438630303,11.556285051669715,13.873026364884288,16.36069411367741,19.32646669495781,22.456879295493078,26.639188898914252,32.35331574493985,41.560534918083334
1993-01-01,9.60183391926615,11.626399073277025,13.887779018107986,16.332188783915598,19.435691365372595,22.670795845058066,26.888238592817267,32.70139349653201,41.63072420565795
1994-01-01,9.527002123239878,11.545201464816255,13.787026989567389,16.14547733409985,19.202166486860396,22.547118206539672,26.950810905662745,32.8846250042615,42.6027977917645
1995-01-01,9.512378386611855,11.583843653042063,13.76872536066473,16.21230313711303,19.129953270839778,22.573495285319538,26.9664990408953,32.835702550235524,42.488336468687145
1996-01-01,9.46582639508181,11.556383239811513,13.854051908470556,16.29527792518673,19.02586238227345,22.522597030198074,26.941298183101807,32.90514196528758,42.92707424020718
1997-01-01,9.727603732866605,11.799907680963795,14.09785185166446,16.556471235469413,19.233410283315845,22.783581703722415,27.249948131645326,33.288114400505386,43.45027166248494
1998-01-01,10.288998190048567,12.348819875776398,14.538027298889793,17.19699635697201,19.985115755132497,23.503976438534178,27.96041812304383,34.15038349791342,44.8637670828936
1999-01-01,10.485225172371699,12.61262549379051,14.896519215798522,17.54876280562148,20.472174344633434,24.0450783267998,28.567042534694696,34.894591833273225,45.59664680217878
2000-01-01,10.498352419984107,12.761976464065851,15.1396456376618,17.464621218213843,20.558439289766216,24.23800830556833,28.91426372094246,35.23734917614506,46.17282788145781
2001-01-01,10.856386061583363,13.132671166453814,15.573669038591541,17.907920530471003,21.003077279636788,24.736002955669868,29.496791882172083,35.95930367488991,48.03604174254614
2002-01-01,11.072418159138074,13.30635996385054,15.888896810936204,18.317284893845077,21.343701466069067,25.09229083032319,30.062273816195425,36.693706912416374,48.95058914386867
